County,Pop1824,Num1824LTHS,Num1824HS,Num1824SomeC,Num1824Bach,AllPctHS,PctBach
Aitkin,817,173,350,246,48,90.4,14.8
Anoka,27322,4426,8962,11284,2650,93.4,27.3
Becker,2236,398,854,872,114,90.5,21.6
Beltrami,6554,832,1488,3762,472,90.1,26.7
Benton,3567,410,974,1912,271,91.6,20.3
Big Stone,309,102,83,97,27,89.7,18.3
Blue Earth,14148,467,2250,10158,1259,94.2,30.4
Brown,2473,260,660,1434,121,90.8,21.5
Carlton,2692,366,1012,1214,102,93.2,22.3
Carver,6749,1080,1734,2949,992,95.5,45
Cass,1831,355,725,703,48,91.2,19.6
Chippewa,901,214,253,375,59,88.3,17.6
Chisago,4202,887,1605,1521,193,93.7,21.5
Clay,10204,439,2408,6551,806,93.9,30.5
Clearwater,593,125,223,225,20,85.8,14.2
Cook,265,23,72,145,25,95.2,40.6
Cottonwood,891,289,300,260,42,88.6,17
Crow Wing,4597,598,1485,2239,276,92.6,23
Dakota,31865,4334,9655,13702,4174,94.8,39.5
Dodge,1536,214,571,637,114,93.5,24.1
Douglas,2843,290,773,1501,281,93.5,24.2
Faribault,956,146,353,401,56,90,17
Fillmore,1439,376,432,554,78,90.2,18.7
Freeborn,2282,388,876,936,82,87.8,15.3
Goodhue,3368,512,1283,1236,337,92.2,23.5
Grant,388,56,98,198,36,91.7,18.3
Hennepin,110187,13553,23800,51788,20936,92.7,46.4
Houston,1342,193,403,635,111,92,22
Hubbard,1205,255,484,390,75,92.2,24.3
Isanti,2940,423,1241,1158,118,91.7,17.1
Itasca,3171,422,1075,1547,127,92.5,21.7
Jackson,730,138,197,296,99,91.5,18.6
Kanabec,1137,193,485,429,30,87.1,13.4
Kandiyohi,3918,650,925,2041,302,88.6,21.9
Kittson,274,46,71,133,24,90.1,21.2
Koochiching,854,166,298,360,30,89.1,18.4
Lac qui Parle,397,104,148,132,13,91.7,18.6
Lake,642,68,263,253,58,94.3,23.2
Lake of the Woods,286,80,126,61,19,91.5,16.2
Le Sueur,1982,309,737,755,178,90.3,21.6
Lincoln,355,51,121,135,48,91.7,19.6
Lyon,3227,219,910,1836,261,92.4,27.2
Mahnomen,425,124,169,118,14,84,13
Marshall,618,121,197,272,28,88.6,17.9
Martin,1384,263,374,673,75,88.3,17.9
McLeod,2692,417,880,1112,280,91.4,18.9
Meeker,1592,296,587,637,72,91.1,18
Mille Lacs,1871,314,666,722,167,88.4,15.3
Morrison,2435,397,913,1018,107,89.2,16.4
Mower,3345,933,870,1422,120,87.4,17.9
Murray,531,85,175,234,37,89.6,17.2
Nicollet,4513,221,681,3340,271,93.5,32.3
Nobles,2035,891,537,531,75,79,14.4
Norman,432,88,135,182,27,88.7,14.7
Olmsted,11155,1551,2744,4942,1908,94,40.2
Otter Tail,3931,590,1183,1777,381,90.7,23.6
Pennington,1244,156,364,659,65,90.1,16.6
Pine,2030,300,818,838,73,88.6,12.6
Pipestone,656,144,193,303,16,85.5,18
Polk,3125,478,775,1750,122,89.6,21.3
Pope,683,124,235,292,32,92.6,20.6
Ramsey,59318,7415,14592,28354,8957,89.9,39.8
Red Lake,239,29,95,101,14,90.2,16.1
Redwood,1123,191,422,398,112,88,16.3
Renville,1100,205,427,366,102,88.9,15.6
Rice,9771,831,1739,6801,391,89.5,27.5
Rock,619,82,218,284,35,90.1,18
Roseau,1090,211,474,372,33,91.5,18
Scott,9416,1375,2825,3908,1318,94.6,38.3
Sherburne,7570,1325,2612,3134,500,93.6,26.2
Sibley,1061,176,419,381,85,89,15.8
St. Louis,25559,2454,5214,15463,2428,93,26.4
Stearns,23860,1622,3603,16917,1742,91.5,25.5
Steele,2703,284,1022,1149,246,91.7,24.8
Stevens,1962,139,420,1326,77,91.2,26.3
Swift,723,120,265,280,58,88.8,16.6
Todd,1894,474,509,837,74,86.7,13.8
Traverse,198,22,33,115,28,90.4,16.8
Wabasha,1483,191,611,583,96,92.7,20.7
Wadena,998,153,271,526,48,88.6,12.9
Waseca,1294,197,562,484,52,91.9,19.9
Washington,18461,2603,5077,8474,2308,96,41.3
Watonwan,849,281,308,216,44,84.7,16.7
Wilkin,433,81,123,205,24,90.7,16.4
Winona,10765,484,2993,6502,775,90.4,27.5
Wright,8819,1288,2690,4039,811,94.1,27.4
Yellow Medicine,731,113,280,307,31,91.2,17.3
