LAUS,STFIPS,CountyFIPS,CountyName,Year,LaborForce,Employed ,Unemployed,UERate
CN4200100000000,42,001,"Adams County, PA",2017,"55,457     ","53,419     ","2,038     ",3.7     
CN4200300000000,42,003,"Allegheny County, PA",2017,"645,906     ","615,193     ","30,713     ",4.8     
CN4200500000000,42,005,"Armstrong County, PA",2017,"32,676     ","30,667     ","2,009     ",6.1     
CN4200700000000,42,007,"Beaver County, PA",2017,"84,912     ","80,204     ","4,708     ",5.5     
CN4200900000000,42,009,"Bedford County, PA",2017,"23,757     ","22,527     ","1,230     ",5.2     
CN4201100000000,42,011,"Berks County, PA",2017,"212,082     ","202,309     ","9,773     ",4.6     
CN4201300000000,42,013,"Blair County, PA",2017,"60,219     ","57,300     ","2,919     ",4.8     
CN4201500000000,42,015,"Bradford County, PA",2017,"29,363     ","27,854     ","1,509     ",5.1     
CN4201700000000,42,017,"Bucks County, PA",2017,"341,433     ","326,960     ","14,473     ",4.2     
CN4201900000000,42,019,"Butler County, PA",2017,"98,326     ","93,801     ","4,525     ",4.6     
CN4202100000000,42,021,"Cambria County, PA",2017,"59,765     ","56,138     ","3,627     ",6.1     
CN4202300000000,42,023,"Cameron County, PA",2017,"2,201     ","2,049     ",152     ,6.9     
CN4202500000000,42,025,"Carbon County, PA",2017,"31,500     ","29,747     ","1,753     ",5.6     
CN4202700000000,42,027,"Centre County, PA",2017,"78,636     ","75,729     ","2,907     ",3.7     
CN4202900000000,42,029,"Chester County, PA",2017,"281,136     ","271,053     ","10,083     ",3.6     
CN4203100000000,42,031,"Clarion County, PA",2017,"17,723     ","16,722     ","1,001     ",5.6     
CN4203300000000,42,033,"Clearfield County, PA",2017,"35,854     ","33,714     ","2,140     ",6.0     
CN4203500000000,42,035,"Clinton County, PA",2017,"18,317     ","17,182     ","1,135     ",6.2     
CN4203700000000,42,037,"Columbia County, PA",2017,"33,804     ","32,039     ","1,765     ",5.2     
CN4203900000000,42,039,"Crawford County, PA",2017,"39,398     ","37,231     ","2,167     ",5.5     
CN4204100000000,42,041,"Cumberland County, PA",2017,"129,985     ","125,031     ","4,954     ",3.8     
CN4204300000000,42,043,"Dauphin County, PA",2017,"141,982     ","135,578     ","6,404     ",4.5     
CN4204500000000,42,045,"Delaware County, PA",2017,"294,762     ","281,424     ","13,338     ",4.5     
CN4204700000000,42,047,"Elk County, PA",2017,"15,996     ","15,218     ",778     ,4.9     
CN4204900000000,42,049,"Erie County, PA",2017,"130,755     ","123,192     ","7,563     ",5.8     
CN4205100000000,42,051,"Fayette County, PA",2017,"57,811     ","53,806     ","4,005     ",6.9     
CN4205300000000,42,053,"Forest County, PA",2017,"1,832     ","1,709     ",123     ,6.7     
CN4205500000000,42,055,"Franklin County, PA",2017,"76,656     ","73,242     ","3,414     ",4.5     
CN4205700000000,42,057,"Fulton County, PA",2017,"7,191     ","6,821     ",370     ,5.1     
CN4205900000000,42,059,"Greene County, PA",2017,"16,835     ","15,838     ",997     ,5.9     
CN4206100000000,42,061,"Huntingdon County, PA",2017,"19,739     ","18,552     ","1,187     ",6.0     
CN4206300000000,42,063,"Indiana County, PA",2017,"39,219     ","36,896     ","2,323     ",5.9     
CN4206500000000,42,065,"Jefferson County, PA",2017,"20,572     ","19,418     ","1,154     ",5.6     
CN4206700000000,42,067,"Juniata County, PA",2017,"12,394     ","11,820     ",574     ,4.6     
CN4206900000000,42,069,"Lackawanna County, PA",2017,"106,305     ","100,852     ","5,453     ",5.1     
CN4207100000000,42,071,"Lancaster County, PA",2017,"280,293     ","269,590     ","10,703     ",3.8     
CN4207300000000,42,073,"Lawrence County, PA",2017,"40,603     ","38,132     ","2,471     ",6.1     
CN4207500000000,42,075,"Lebanon County, PA",2017,"70,550     ","67,635     ","2,915     ",4.1     
CN4207700000000,42,077,"Lehigh County, PA",2017,"188,781     ","179,294     ","9,487     ",5.0     
CN4207900000000,42,079,"Luzerne County, PA",2017,"158,265     ","148,913     ","9,352     ",5.9     
CN4208100000000,42,081,"Lycoming County, PA",2017,"57,623     ","54,369     ","3,254     ",5.6     
CN4208300000000,42,083,"McKean County, PA",2017,"18,148     ","17,029     ","1,119     ",6.2     
CN4208500000000,42,085,"Mercer County, PA",2017,"50,990     ","48,200     ","2,790     ",5.5     
CN4208700000000,42,087,"Mifflin County, PA",2017,"20,630     ","19,527     ","1,103     ",5.3     
CN4208900000000,42,089,"Monroe County, PA",2017,"81,955     ","77,141     ","4,814     ",5.9     
CN4209100000000,42,091,"Montgomery County, PA",2017,"448,710     ","431,390     ","17,320     ",3.9     
CN4209300000000,42,093,"Montour County, PA",2017,"9,096     ","8,744     ",352     ,3.9     
CN4209500000000,42,095,"Northampton County, PA",2017,"158,727     ","150,948     ","7,779     ",4.9     
CN4209700000000,42,097,"Northumberland County, PA",2017,"43,683     ","41,201     ","2,482     ",5.7     
CN4209900000000,42,099,"Perry County, PA",2017,"24,239     ","23,198     ","1,041     ",4.3     
CN4210100000000,42,101,"Philadelphia County/city, PA",2017,"704,053     ","660,073     ","43,980     ",6.2     
CN4210300000000,42,103,"Pike County, PA",2017,"24,836     ","23,365     ","1,471     ",5.9     
CN4210500000000,42,105,"Potter County, PA",2017,"7,228     ","6,754     ",474     ,6.6     
CN4210700000000,42,107,"Schuylkill County, PA",2017,"66,298     ","62,412     ","3,886     ",5.9     
CN4210900000000,42,109,"Snyder County, PA",2017,"20,541     ","19,630     ",911     ,4.4     
CN4211100000000,42,111,"Somerset County, PA",2017,"33,582     ","31,536     ","2,046     ",6.1     
CN4211300000000,42,113,"Sullivan County, PA",2017,"2,783     ","2,622     ",161     ,5.8     
CN4211500000000,42,115,"Susquehanna County, PA",2017,"20,651     ","19,674     ",977     ,4.7     
CN4211700000000,42,117,"Tioga County, PA",2017,"19,220     ","18,069     ","1,151     ",6.0     
CN4211900000000,42,119,"Union County, PA",2017,"19,834     ","18,966     ",868     ,4.4     
CN4212100000000,42,121,"Venango County, PA",2017,"23,056     ","21,645     ","1,411     ",6.1     
CN4212300000000,42,123,"Warren County, PA",2017,"19,337     ","18,315     ","1,022     ",5.3     
CN4212500000000,42,125,"Washington County, PA",2017,"106,484     ","100,896     ","5,588     ",5.2     
CN4212700000000,42,127,"Wayne County, PA",2017,"22,528     ","21,384     ","1,144     ",5.1     
CN4212900000000,42,129,"Westmoreland County, PA",2017,"181,839     ","172,417     ","9,422     ",5.2     
CN4213100000000,42,131,"Wyoming County, PA",2017,"13,958     ","13,224     ",734     ,5.3     
CN4213300000000,42,133,"York County, PA",2017,"234,356     ","224,108     ","10,248     ",4.4     
